tickers,cours,total_tests,ecart_BB_w,position_prix_BB_w,position_prix_BB_d,position_prix_BB_h4,ZL_MACD_hist,Tests_MM_w,Tests_MM_d,Tests_MM_h4,Tests_RSI,combo_rsi,Tests_CCI,combo_cci,CHOP_w,combo_chop,Hammer_1w,Hammer_1d,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
RDNT,0.02261,5.0,55.83839736928124,0.22755640028550372,0.12034232292889961,0.41284885085292394,101.0,0.0,0.0,1.0,100.0,,101.0,,37.87623099692379,,35.0,56.0,1.0,-0.40897946469058205,-0.7187491124698672,0.46094336241321443
REEF,0.000688,0.0,3.4652909904651774,0.0619248343969031,0.20090442559574606,-0.02607210141633227,110.0,0.0,0.0,0.0,0.0,,0.0,,35.35409530776125,,336.0,234.0,2.0,0.5377868215485566,-0.58483203176086,2.3270333065902755
REI,0.02425,6.0,7.815593775397851,0.19600765179859633,0.1486653037171135,0.2771287191283323,101.0,0.0,10.0,1.0,0.0,,1.0,,38.35441166552874,,35.0,56.0,0.0,-0.2975227890657457,-0.09938584749773684,-0.016443130589802197
REN,0.04274,6.0,0.7849162862537894,0.605218052529371,0.2765319473896162,0.09974568095330964,0.0,10.0,100.0,0.0,10.0,,10.0,,33.899704443737896,,378.0,172.0,0.0,0.07869858823638831,-0.7865445103439078,4.858893126881315
REQ,0.1246,12.0,0.5601706690350442,0.666502964296733,0.945261966443741,0.5601756331193184,110.0,101.0,111.0,110.0,101.0,,101.0,,55.06993694513529,,56.0,13.0,1.0,-0.36760990048261655,2.3375539535292424,-0.47454823657593764
RIF,0.041,6.0,18.935244565022213,0.22357736185295235,0.2194966658235207,0.3790594840203392,101.0,0.0,0.0,1.0,100.0,,101.0,,29.04938626064305,,35.0,6.0,1.0,-0.44228861681784754,-0.45845205996553917,-0.22954231917255422
RLC,1.205,8.0,3.091160270445413,0.24190807344099635,0.19819403807379174,0.29718785491533906,101.0,0.0,110.0,1.0,101.0,,101.0,,38.509663047089724,,35.0,19.0,0.0,-0.2857178824992545,-0.6288516183292368,-0.44961854093947806
RNDR,7.03,13.0,1.2561181304429332,0.21485392947407358,0.8376975566410456,0.7622276025839424,110.0,100.0,11.0,111.0,1.0,,1.0,,52.00849045142118,,1071.0,286.0,2.0,0.2616493413395599,0.12489672048406597,0.16762786310939679
ROSE,0.02835,5.0,62.65124487983735,0.21101097810059502,0.03307894509116954,0.33882862947785314,101.0,0.0,0.0,1.0,0.0,,101.0,,32.397748382143156,,35.0,13.0,1.0,-0.26485841110992414,-0.042414739647111364,-0.4106276218060604
RPL,4.4,1.0,8.276959906075636,0.17623095694146076,-0.02802146098173594,0.1244842876613106,100.0,0.0,0.0,0.0,100.0,,101.0,oversold,43.69398500101417,,35.0,31.0,1.0,-0.3482539072281292,-0.2738569721714135,-0.06937805024536632
RSR,0.006251,5.0,4.739282741562518,0.2214954812624469,0.48629292537335406,0.25338839301925414,101.0,100.0,10.0,0.0,100.0,,100.0,,41.40386097143815,,35.0,31.0,0.0,-0.3446788000569336,0.12032393316427303,0.23891907249008104
RUNE,1.144,6.0,7.3905397123188825,0.26991506692781486,0.2491068853738684,0.6581163690784667,101.0,0.0,0.0,1.0,1.0,,1.0,,33.40280658469779,,539.0,41.0,1.0,-0.2009289649769503,-0.10471722502852732,-0.5758245525377333
